period,period_start,channel,spend,revenue,roas
month,2023-08-01,affiliate,872065.2000000085,38529300.45999994,44.18167409959664
month,2023-08-01,display,1273007.0999999973,38529300.45999994,30.266367296773147
month,2023-08-01,email,422691.2999999985,38529300.45999994,91.15233850330036
month,2023-08-01,paid_search,2560290.9000000074,38529300.45999994,15.048797954951068
month,2023-08-01,paid_social,2157630.599999997,38529300.45999994,17.857227488338363
month,2023-08-01,tv,1719376.7999999973,38529300.45999994,22.40887539019952
month,2023-09-01,affiliate,776375.7799999986,36245443.18000021,46.68543779147808
month,2023-09-01,display,1178301.780000008,36245443.18000021,30.76074720009331
month,2023-09-01,email,398065.2500000012,36245443.18000021,91.05402488662374
month,2023-09-01,paid_search,2398248.730000001,36245443.18000021,15.113296100859477
month,2023-09-01,paid_social,2001688.8900000078,36245443.18000021,18.107430860546998
month,2023-09-01,tv,1553751.4000000034,36245443.18000021,23.32769784149519
month,2023-10-01,affiliate,785151.6400000014,35473414.83,45.180335903010956
month,2023-10-01,display,1152863.569999997,35473414.83,30.76982893127596
month,2023-10-01,email,381524.8300000013,35473414.83,92.97799786713719
month,2023-10-01,paid_search,2320724.390000005,35473414.83,15.28549231561268
month,2023-10-01,paid_social,1928128.120000014,35473414.83,18.39785150273092
month,2023-10-01,tv,1501393.8099999966,35473414.83,23.62698886443396
month,2023-11-01,affiliate,850545.6000000018,42821110.38999973,50.34546106640213
month,2023-11-01,display,1299155.9999999937,42821110.38999973,32.96071479483599
month,2023-11-01,email,429137.40000000194,42821110.38999973,99.78414929577227
month,2023-11-01,paid_search,2576499.2999999914,42821110.38999973,16.61988046726808
month,2023-11-01,paid_social,2117464.1999999946,42821110.38999973,20.222826147426645
month,2023-11-01,tv,1689743.700000006,42821110.38999973,25.341778395149266
month,2023-12-01,affiliate,970856.7000000022,51088513.270000026,52.62209476434567
month,2023-12-01,display,1437348.3000000028,51088513.270000026,35.54358624837134
month,2023-12-01,email,479972.6999999971,51088513.270000026,106.44045644679444
month,2023-12-01,paid_search,2948581.1999999993,51088513.270000026,17.326473244148758
month,2023-12-01,paid_social,2424842.699999998,51088513.270000026,21.068794800586474
month,2023-12-01,tv,1912633.4999999925,51088513.270000026,26.7110835766498
month,2024-01-01,affiliate,1076554.8000000012,57653328.00000004,53.553546925804405
month,2024-01-01,display,1606924.4999999981,57653328.00000004,35.87805649860967
month,2024-01-01,email,532703.9999999992,57653328.00000004,108.22769868444789
month,2024-01-01,paid_search,3222221.1000000015,57653328.00000004,17.89241836942847
month,2024-01-01,paid_social,2666409.8999999943,57653328.00000004,21.6220799360219
month,2024-01-01,tv,2151891.2999999993,57653328.00000004,26.791933217072838
month,2024-02-01,affiliate,1096355.4000000006,59121679.58000019,53.92565182786545
month,2024-02-01,display,1636441.5000000093,59121679.58000019,36.128196198886336
month,2024-02-01,email,541141.5000000008,59121679.58000019,109.25364175543754
month,2024-02-01,paid_search,3207521.10000001,59121679.58000019,18.432202855968743
month,2024-02-01,paid_social,2696047.8000000003,59121679.58000019,21.9290175715728
month,2024-02-01,tv,2192123.1000000006,59121679.58000019,26.970054546663086
month,2024-03-01,affiliate,1289230.490000001,68802564.35999992,53.36715575195547
month,2024-03-01,display,1940021.5200000028,68802564.35999992,35.46484595696641
month,2024-03-01,email,643177.9799999981,68802564.35999992,106.97282323004922
month,2024-03-01,paid_search,3906016.2999999886,68802564.35999992,17.61451030299083
month,2024-03-01,paid_social,3201428.7900000005,68802564.35999992,21.491205606356754
month,2024-03-01,tv,2563958.7199999834,68802564.35999992,26.83450549469079
month,2024-04-01,affiliate,1184583.2999999963,59842005.13000021,50.51734658930309
month,2024-04-01,display,1773063.6000000027,59842005.13000021,33.750625262399005
month,2024-04-01,email,594744.8999999973,59842005.13000021,100.61793742157433
month,2024-04-01,paid_search,3508858.1999999923,59842005.13000021,17.054552141776586
month,2024-04-01,paid_social,2964374.999999991,59842005.13000021,20.187056337339367
month,2024-04-01,tv,2362556.400000004,59842005.13000021,25.32934457353065
month,2024-05-01,affiliate,1186195.2000000007,57014217.04999968,48.06478482630822
month,2024-05-01,display,1756328.9999999958,57014217.04999968,32.46215091249977
month,2024-05-01,email,599706.5999999997,57014217.04999968,95.07018440350615
month,2024-05-01,paid_search,3616718.3999999855,57014217.04999968,15.764074153519916
month,2024-05-01,paid_social,2982539.700000003,57014217.04999968,19.115996025132414
month,2024-05-01,tv,2393069.999999997,57014217.04999968,23.82471764302747
month,2024-06-01,affiliate,1085914.1999999997,48476101.45999983,44.64082103355849
month,2024-06-01,display,1619310.000000005,48476101.45999983,29.93627005329411
month,2024-06-01,email,538066.5000000005,48476101.45999983,90.09314175849971
month,2024-06-01,paid_search,3257648.099999992,48476101.45999983,14.880705334624677
month,2024-06-01,paid_social,2704534.2000000034,48476101.45999983,17.92401126227199
month,2024-06-01,tv,2186050.799999993,48476101.45999983,22.17519440078885
month,2024-07-01,affiliate,1034126.3999999973,43721651.4000001,42.27882723040454
month,2024-07-01,display,1532710.2000000025,43721651.4000001,28.525713080006927
month,2024-07-01,email,508830.00000000256,43721651.4000001,85.92585224927753
month,2024-07-01,paid_search,3087530.699999988,43721651.4000001,14.160717948488827
month,2024-07-01,paid_social,2579792.6999999927,43721651.4000001,16.947738242689123
month,2024-07-01,tv,2038091.4000000095,43721651.4000001,21.45225253391477
month,2024-08-01,affiliate,951935.6999999952,39242387.41999999,41.223779526285426
month,2024-08-01,display,1417443.9000000025,39242387.41999999,27.68531962358434
month,2024-08-01,email,476899.4999999996,39242387.41999999,82.28649310808676
month,2024-08-01,paid_search,2864789.700000016,39242387.41999999,13.698173872937259
month,2024-08-01,paid_social,2362854.600000009,39242387.41999999,16.608041569718186
month,2024-08-01,tv,1883556.8999999936,39242387.41999999,20.83419270211594
month,2024-09-01,affiliate,874721.2300000002,35358921.41000026,40.42307445767636
month,2024-09-01,display,1306274.1299999955,35358921.41000026,27.068530714912328
month,2024-09-01,email,436277.83999999973,35358921.41000026,81.0467967155982
month,2024-09-01,paid_search,2636310.4999999995,35358921.41000026,13.412274999473796
month,2024-09-01,paid_social,2199562.4200000013,35358921.41000026,16.075434408449404
month,2024-09-01,tv,1754537.529999991,35358921.41000026,20.152844157172538
month,2024-10-01,affiliate,864033.1599999995,36775556.0400001,42.56266743281025
month,2024-10-01,display,1270947.4500000132,36775556.0400001,28.9355441407115
month,2024-10-01,email,430268.8600000003,36775556.0400001,85.47110762326625
month,2024-10-01,paid_search,2539954.879999993,36775556.0400001,14.47882256869075
month,2024-10-01,paid_social,2159523.1300000013,36775556.0400001,17.029480040808863
month,2024-10-01,tv,1707152.1200000094,36775556.0400001,21.542049832091063
month,2024-11-01,affiliate,942001.7999999995,43508370.19000005,46.187141245377745
month,2024-11-01,display,1408334.700000006,43508370.19000005,30.893487315195646
month,2024-11-01,email,464442.59999999846,43508370.19000005,93.67868104691559
month,2024-11-01,paid_search,2873859.599999987,43508370.19000005,15.139351341311261
month,2024-11-01,paid_social,2306222.699999986,43508370.19000005,18.865641288675334
month,2024-11-01,tv,1929256.8000000124,43508370.19000005,22.551881216642474
month,2024-12-01,affiliate,523450.82000000036,24788655.290000092,47.356225920135294
month,2024-12-01,display,776361.7600000015,24788655.290000092,31.92925845549122
month,2024-12-01,email,257818.50999999963,24788655.290000092,96.14769432187056
month,2024-12-01,paid_search,1573341.119999997,24788655.290000092,15.755423267651034
month,2024-12-01,paid_social,1327940.6600000022,24788655.290000092,18.666990202709847
month,2024-12-01,tv,1060256.6299999992,24788655.290000092,23.379863505310134
quarter,2023-01-01,affiliate,3115729.2700000103,183136192.0199995,58.777954099971886
quarter,2023-01-01,display,4707573.580000024,183136192.0199995,38.902459814552394
quarter,2023-01-01,email,1567895.8800000243,183136192.0199995,116.8037969587602
quarter,2023-01-01,paid_search,9548208.440000035,183136192.0199995,19.18016276779132
quarter,2023-01-01,paid_social,7933082.600000017,183136192.0199995,23.085123558400753
quarter,2023-01-01,tv,6280407.94999992,183136192.0199995,29.159919781962863
quarter,2023-04-01,affiliate,3203781.000000018,169483579.18000108,52.9011125229846
quarter,2023-04-01,display,4760669.400000051,169483579.18000108,35.600787397671276
quarter,2023-04-01,email,1583088.599999999,169483579.18000108,107.05880844571882
quarter,2023-04-01,paid_search,9543538.4999999,169483579.18000108,17.758987316916347
quarter,2023-04-01,paid_social,7999634.100000064,169483579.18000108,21.186416411220574
quarter,2023-04-01,tv,6312201.900000086,169483579.18000108,26.85015179568302
quarter,2023-07-01,affiliate,2574422.7800000133,119329381.7000006,46.35189784173677
quarter,2023-07-01,display,3846792.180000014,119329381.7000006,31.020490870395854
quarter,2023-07-01,email,1298770.8500000045,119329381.7000006,91.8787033909794
quarter,2023-07-01,paid_search,7728435.429999886,119329381.7000006,15.440302604689338
quarter,2023-07-01,paid_social,6514594.589999959,119329381.7000006,18.317238325647114
quarter,2023-07-01,tv,5105278.600000002,119329381.7000006,23.37372571596789
quarter,2023-10-01,affiliate,2606553.9399999855,129383038.4900009,49.63758336418759
quarter,2023-10-01,display,3889367.870000006,129383038.4900009,33.265826945292446
quarter,2023-10-01,email,1290634.930000007,129383038.4900009,100.24758782098064
quarter,2023-10-01,paid_search,7845804.890000042,129383038.4900009,16.490728523584306
quarter,2023-10-01,paid_social,6470435.020000013,129383038.4900009,19.99603397454421
quarter,2023-10-01,tv,5103771.010000007,129383038.4900009,25.350478741404334
quarter,2024-01-01,affiliate,3462140.690000022,185577571.93999943,53.601973044023886
quarter,2024-01-01,display,5183387.520000004,185577571.93999943,35.80237271937547
quarter,2024-01-01,email,1717023.480000006,185577571.93999943,108.08097507204664
quarter,2024-01-01,paid_search,10335758.499999985,185577571.93999943,17.95490596456948
quarter,2024-01-01,paid_social,8563886.490000024,185577571.93999943,21.669784175291994
quarter,2024-01-01,tv,6907973.120000061,185577571.93999943,26.864257969202665
quarter,2024-04-01,affiliate,3456692.699999994,165332323.64000002,47.82962733135066
quarter,2024-04-01,display,5148702.600000031,165332323.64000002,32.111453405756826
quarter,2024-04-01,email,1732517.9999999986,165332323.64000002,95.4289211656099
quarter,2024-04-01,paid_search,10383224.700000042,165332323.64000002,15.923022800421467
quarter,2024-04-01,paid_social,8651448.899999954,165332323.64000002,19.11036238565784
quarter,2024-04-01,tv,6941677.199999995,165332323.64000002,23.817345416176963
quarter,2024-07-01,affiliate,2860783.330000004,118322960.22999974,41.36033616708735
quarter,2024-07-01,display,4256428.230000006,118322960.22999974,27.79865037921703
quarter,2024-07-01,email,1422007.3400000108,118322960.22999974,83.20840329136335
quarter,2024-07-01,paid_search,8588630.899999931,118322960.22999974,13.776696380094839
quarter,2024-07-01,paid_social,7142209.719999994,118322960.22999974,16.566716026087207
quarter,2024-07-01,tv,5676185.830000086,118322960.22999974,20.84550502286814
quarter,2024-10-01,affiliate,2329485.7799999756,105072581.5199995,45.105483116535964
quarter,2024-10-01,display,3455643.910000017,105072581.5199995,30.406078941160054
quarter,2024-10-01,email,1152529.9700000067,105072581.5199995,91.16689739530061
quarter,2024-10-01,paid_search,6987155.600000002,105072581.5199995,15.037962160167075
quarter,2024-10-01,paid_social,5793686.489999944,105072581.5199995,18.13570370115082
quarter,2024-10-01,tv,4696665.549999992,105072581.5199995,22.37174020619792
