metric_type,date,channel,value,is_outlier
revenue,2023-03-01,,72375.42,False
revenue,2023-03-02,,60337.59,False
revenue,2023-03-03,,68535.27,False
revenue,2023-03-04,,73584.65,False
revenue,2023-03-05,,70620.02,False
revenue,2023-03-06,,64330.16,False
revenue,2023-03-07,,63895.24,False
revenue,2023-03-08,,66546.8,False
revenue,2023-03-09,,62961.97,False
revenue,2023-03-10,,61559.26,False
revenue,2023-03-11,,70951.78,False
revenue,2023-03-12,,71415.41,False
revenue,2023-03-13,,83603.61,False
revenue,2023-03-14,,62847.98,False
revenue,2023-03-15,,65281.28,False
revenue,2023-03-16,,68905.39,False
revenue,2023-03-17,,62123.54,False
revenue,2023-03-18,,66402.32,False
revenue,2023-03-19,,78604.98,False
revenue,2023-03-20,,67685.55,False
revenue,2023-03-21,,67449.98,False
revenue,2023-03-22,,67260.54,False
revenue,2023-03-23,,70116.3,False
revenue,2023-03-24,,68174.95,False
revenue,2023-03-25,,76722.82,False
revenue,2023-03-26,,68997.13,False
revenue,2023-03-26,,82078.69,False
revenue,2023-03-27,,73440.95,False
revenue,2023-03-28,,71944.83,False
revenue,2023-03-29,,65256.11,False
revenue,2023-03-30,,68031.45,False
revenue,2023-03-31,,72938.72,False
revenue,2023-04-01,,71125.94,False
revenue,2023-04-02,,69478.85,False
revenue,2023-04-03,,84602.26,False
revenue,2023-04-04,,64923.44,False
revenue,2023-04-05,,75098.74,False
revenue,2023-04-06,,64648.48,False
revenue,2023-04-07,,74014.76,False
revenue,2023-04-08,,81328.73,False
revenue,2023-04-09,,74386.37,False
revenue,2023-04-10,,69560.52,False
revenue,2023-04-11,,69604.44,False
revenue,2023-04-12,,71784.36,False
revenue,2023-04-13,,67777.28,False
revenue,2023-04-14,,62249.87,False
revenue,2023-04-15,,67219.79,False
revenue,2023-04-16,,72823.78,False
revenue,2023-04-17,,61300.97,False
revenue,2023-04-18,,60979.06,False
revenue,2023-04-19,,72386.89,False
revenue,2023-04-20,,64473.15,False
revenue,2023-04-21,,66879.75,False
revenue,2023-04-22,,69920.98,False
revenue,2023-04-23,,73863.12,False
revenue,2023-04-24,,75440.86,False
revenue,2023-04-25,,64739.49,False
revenue,2023-04-26,,75976.08,False
revenue,2023-04-27,,74094.86,False
revenue,2023-04-28,,69964.4,False
revenue,2023-04-29,,66504.72,False
revenue,2023-04-30,,80119.23,False
revenue,2023-05-01,,65115.49,False
revenue,2023-05-02,,61589.07,False
revenue,2023-05-03,,64291.58,False
revenue,2023-05-04,,69903.37,False
revenue,2023-05-05,,60547.74,False
revenue,2023-05-06,,64754.15,False
revenue,2023-05-07,,67680.64,False
revenue,2023-05-08,,71830.0,False
revenue,2023-05-09,,69384.78,False
revenue,2023-05-10,,65901.11,False
revenue,2023-05-11,,57241.04,False
revenue,2023-05-12,,61688.85,False
revenue,2023-05-13,,64795.68,False
revenue,2023-05-14,,76327.53,False
revenue,2023-05-15,,64738.52,False
revenue,2023-05-16,,63591.53,False
revenue,2023-05-17,,77244.85,False
revenue,2023-05-18,,59998.84,False
revenue,2023-05-19,,68691.68,False
revenue,2023-05-20,,75896.37,False
revenue,2023-05-21,,74601.25,False
revenue,2023-05-22,,62739.93,False
revenue,2023-05-23,,57145.29,False
revenue,2023-05-24,,55149.14,False
revenue,2023-05-25,,69132.03,False
revenue,2023-05-26,,77011.81,False
revenue,2023-05-27,,65051.71,False
revenue,2023-05-28,,66972.34,False
revenue,2023-05-29,,68751.11,False
revenue,2023-05-30,,56551.95,False
revenue,2023-05-31,,67340.93,False
revenue,2023-06-01,,57015.78,False
revenue,2023-06-02,,59412.65,False
revenue,2023-06-03,,61191.77,False
revenue,2023-06-04,,58833.42,False
revenue,2023-06-05,,57088.94,False
revenue,2023-06-06,,59477.13,False
revenue,2023-06-07,,65114.93,False
revenue,2023-06-08,,56079.32,False
revenue,2023-06-09,,62112.33,False
revenue,2023-06-10,,62402.69,False
revenue,2023-06-11,,57305.43,False
revenue,2023-06-12,,52532.96,False
revenue,2023-06-13,,59419.44,False
revenue,2023-06-14,,59752.23,False
revenue,2023-06-15,,61373.11,False
revenue,2023-06-16,,52217.14,False
revenue,2023-06-17,,62261.24,False
revenue,2023-06-18,,61963.94,False
revenue,2023-06-19,,55333.53,False
revenue,2023-06-20,,54708.14,False
revenue,2023-06-21,,58755.89,False
revenue,2023-06-22,,56568.34,False
revenue,2023-06-23,,50910.25,False
revenue,2023-06-24,,60845.84,False
revenue,2023-06-25,,58132.84,False
revenue,2023-06-26,,52565.81,False
revenue,2023-06-27,,60901.92,False
revenue,2023-06-28,,50759.14,False
revenue,2023-06-29,,50321.25,False
revenue,2023-06-30,,56137.86,False
revenue,2023-07-01,,51349.44,False
revenue,2023-07-02,,61600.87,False
revenue,2023-07-03,,58887.63,False
revenue,2023-07-04,,54032.72,False
revenue,2023-07-05,,52413.15,False
revenue,2023-07-06,,50662.29,False
revenue,2023-07-07,,48061.86,False
revenue,2023-07-08,,61429.68,False
revenue,2023-07-09,,60529.13,False
revenue,2023-07-10,,49987.33,False
revenue,2023-07-11,,46228.25,False
revenue,2023-07-12,,58036.66,False
revenue,2023-07-13,,48111.46,False
revenue,2023-07-14,,54557.17,False
revenue,2023-07-15,,50308.35,False
revenue,2023-07-16,,71819.98,False
revenue,2023-07-17,,49441.76,False
revenue,2023-07-18,,52811.29,False
revenue,2023-07-19,,44209.96,False
revenue,2023-07-20,,54071.79,False
revenue,2023-07-21,,43231.92,False
revenue,2023-07-22,,48410.96,False
revenue,2023-07-23,,50791.8,False
revenue,2023-07-24,,51740.21,False
revenue,2023-07-25,,45149.96,False
revenue,2023-07-26,,41922.11,False
revenue,2023-07-27,,49739.59,False
revenue,2023-07-28,,50388.75,False
revenue,2023-07-29,,46677.68,False
revenue,2023-07-30,,48968.93,False
revenue,2023-07-31,,40564.17,False
revenue,2023-08-01,,43048.82,False
revenue,2023-08-02,,51109.71,False
revenue,2023-08-03,,43473.51,False
revenue,2023-08-04,,50726.83,False
revenue,2023-08-05,,46939.68,False
revenue,2023-08-06,,56669.2,False
revenue,2023-08-07,,47643.3,False
revenue,2023-08-08,,45531.15,False
revenue,2023-08-09,,46248.0,False
revenue,2023-08-10,,39390.39,False
revenue,2023-08-11,,48837.09,False
revenue,2023-08-12,,48653.99,False
revenue,2023-08-13,,50253.37,False
revenue,2023-08-14,,49250.7,False
revenue,2023-08-15,,41600.6,False
revenue,2023-08-16,,40761.61,False
revenue,2023-08-17,,41289.84,False
revenue,2023-08-18,,40802.13,False
revenue,2023-08-19,,43445.05,False
revenue,2023-08-20,,43893.79,False
revenue,2023-08-21,,40566.01,False
revenue,2023-08-22,,40548.98,False
revenue,2023-08-23,,37708.65,False
revenue,2023-08-24,,38905.47,False
revenue,2023-08-25,,36886.23,False
revenue,2023-08-26,,40347.41,False
revenue,2023-08-27,,50567.02,False
revenue,2023-08-28,,37933.39,False
revenue,2023-08-29,,36771.93,False
revenue,2023-08-30,,50977.46,False
revenue,2023-08-31,,34749.29,False
revenue,2023-09-01,,42887.49,False
revenue,2023-09-02,,41651.91,False
revenue,2023-09-03,,41593.83,False
revenue,2023-09-04,,34418.96,False
revenue,2023-09-05,,47312.43,False
revenue,2023-09-06,,37003.06,False
revenue,2023-09-07,,44040.51,False
revenue,2023-09-08,,39141.21,False
revenue,2023-09-09,,39980.99,False
revenue,2023-09-10,,39567.33,False
revenue,2023-09-11,,33866.93,False
revenue,2023-09-12,,34555.88,False
revenue,2023-09-13,,44204.08,False
revenue,2023-09-14,,36201.61,False
revenue,2023-09-15,,37680.92,False
revenue,2023-09-16,,41545.57,False
revenue,2023-09-17,,50221.04,False
revenue,2023-09-18,,37759.75,False
revenue,2023-09-19,,33156.84,False
revenue,2023-09-20,,39609.84,False
revenue,2023-09-21,,33486.68,False
revenue,2023-09-22,,44836.18,False
revenue,2023-09-23,,51113.71,False
revenue,2023-09-24,,48765.41,False
revenue,2023-09-25,,37576.84,False
revenue,2023-09-26,,36562.59,False
revenue,2023-09-27,,41343.53,False
revenue,2023-09-28,,44066.08,False
revenue,2023-09-29,,36154.76,False
revenue,2023-09-30,,37738.69,False
revenue,2023-10-01,,50968.34,False
revenue,2023-10-02,,34244.89,False
revenue,2023-10-03,,35981.2,False
revenue,2023-10-04,,33331.59,False
revenue,2023-10-05,,44802.44,False
revenue,2023-10-06,,43654.79,False
revenue,2023-10-07,,48163.64,False
revenue,2023-10-08,,48191.71,False
revenue,2023-10-09,,42415.54,False
revenue,2023-10-10,,35273.35,False
revenue,2023-10-11,,38644.41,False
revenue,2023-10-12,,34509.14,False
revenue,2023-10-13,,33932.76,False
revenue,2023-10-14,,41528.51,False
revenue,2023-10-15,,40526.16,False
revenue,2023-10-16,,44135.66,False
revenue,2023-10-17,,35701.42,False
revenue,2023-10-18,,36320.03,False
revenue,2023-10-19,,47004.21,False
revenue,2023-10-20,,32317.25,False
revenue,2023-10-21,,48530.4,False
revenue,2023-10-22,,44028.3,False
revenue,2023-10-23,,33814.77,False
revenue,2023-10-24,,35653.43,False
revenue,2023-10-25,,36571.77,False
revenue,2023-10-26,,34239.58,False
revenue,2023-10-27,,35304.66,False
revenue,2023-10-28,,37795.18,False
revenue,2023-10-30,,40443.1,False
revenue,2023-10-31,,39618.67,False
revenue,2023-11-01,,37794.42,False
revenue,2023-11-02,,48301.24,False
revenue,2023-11-03,,36786.83,False
revenue,2023-11-04,,49442.97,False
revenue,2023-11-05,,42415.75,False
revenue,2023-11-06,,37742.28,False
revenue,2023-11-07,,36380.5,False
revenue,2023-11-08,,34156.79,False
revenue,2023-11-09,,37109.02,False
revenue,2023-11-10,,40664.38,False
revenue,2023-11-11,,45521.39,False
revenue,2023-11-12,,52192.53,False
revenue,2023-11-13,,36382.27,False
revenue,2023-11-14,,40076.29,False
revenue,2023-11-15,,47460.66,False
revenue,2023-11-16,,48944.2,False
revenue,2023-11-17,,49423.0,False
revenue,2023-11-18,,44057.8,False
revenue,2023-11-19,,45238.09,False
revenue,2023-11-20,,48481.51,False
revenue,2023-11-21,,49122.14,False
revenue,2023-11-22,,42058.32,False
revenue,2023-11-23,,47242.31,False
revenue,2023-11-24,,42307.21,False
revenue,2023-11-25,,54786.28,False
revenue,2023-11-26,,53590.74,False
revenue,2023-11-27,,48052.86,False
revenue,2023-11-28,,51957.9,False
revenue,2023-11-29,,41899.22,False
revenue,2023-11-30,,41292.01,False
revenue,2023-12-01,,45042.03,False
revenue,2023-12-02,,48079.97,False
revenue,2023-12-03,,46366.57,False
revenue,2023-12-04,,45913.57,False
revenue,2023-12-05,,52791.96,False
revenue,2023-12-06,,52450.52,False
revenue,2023-12-07,,43972.6,False
revenue,2023-12-08,,46201.86,False
revenue,2023-12-09,,45980.38,False
revenue,2023-12-10,,48439.65,False
revenue,2023-12-11,,49133.0,False
revenue,2023-12-12,,48281.44,False
revenue,2023-12-13,,53233.05,False
revenue,2023-12-14,,46063.33,False
revenue,2023-12-15,,59705.9,False
revenue,2023-12-16,,59280.62,False
revenue,2023-12-17,,49890.72,False
revenue,2023-12-18,,46857.61,False
revenue,2023-12-19,,53115.58,False
revenue,2023-12-20,,47911.98,False
revenue,2023-12-21,,45846.03,False
revenue,2023-12-22,,64023.35,False
revenue,2023-12-23,,53674.98,False
revenue,2023-12-24,,60259.43,False
revenue,2023-12-25,,50499.36,False
revenue,2023-12-26,,50931.74,False
revenue,2023-12-27,,48751.66,False
revenue,2023-12-28,,58756.03,False
revenue,2023-12-29,,59791.95,False
revenue,2023-12-30,,55025.76,False
revenue,2023-12-31,,55925.09,False
revenue,2024-01-01,,50771.84,False
revenue,2024-01-02,,48280.94,False
revenue,2024-01-03,,62415.91,False
revenue,2024-01-04,,59731.19,False
revenue,2024-01-05,,53283.53,False
revenue,2024-01-06,,64786.97,False
revenue,2024-01-07,,53707.92,False
revenue,2024-01-08,,50584.44,False
revenue,2024-01-09,,53524.0,False
revenue,2024-01-10,,62500.29,False
revenue,2024-01-11,,53257.54,False
revenue,2024-01-12,,52035.9,False
revenue,2024-01-13,,55249.11,False
revenue,2024-01-14,,69295.54,False
revenue,2024-01-15,,51376.16,False
revenue,2024-01-16,,72862.65,False
revenue,2024-01-17,,54047.45,False
revenue,2024-01-18,,56419.0,False
revenue,2024-01-19,,55806.34,False
revenue,2024-01-20,,68089.34,False
revenue,2024-01-21,,59448.27,False
revenue,2024-01-22,,67217.71,False
revenue,2024-01-23,,58891.91,False
revenue,2024-01-24,,56771.28,False
revenue,2024-01-25,,54595.96,False
revenue,2024-01-26,,62590.12,False
revenue,2024-01-27,,61786.13,False
revenue,2024-01-28,,61828.3,False
revenue,2024-01-29,,56457.19,False
revenue,2024-01-30,,63138.18,False
revenue,2024-01-31,,66375.85,False
revenue,2024-02-01,,54413.79,False
revenue,2024-02-02,,67205.03,False
revenue,2024-02-03,,71229.39,False
revenue,2024-02-04,,65604.75,False
revenue,2024-02-05,,55431.17,False
revenue,2024-02-06,,61000.69,False
revenue,2024-02-07,,56820.92,False
revenue,2024-02-08,,57631.22,False
revenue,2024-02-09,,67798.46,False
revenue,2024-02-10,,65532.23,False
revenue,2024-02-11,,73043.07,False
revenue,2024-02-12,,62728.83,False
revenue,2024-02-13,,68542.39,False
revenue,2024-02-14,,67035.0,False
revenue,2024-02-15,,69250.9,False
revenue,2024-02-16,,59603.24,False
revenue,2024-02-17,,68522.48,False
revenue,2024-02-18,,68905.47,False
revenue,2024-02-19,,70458.8,False
revenue,2024-02-20,,58352.99,False
revenue,2024-02-21,,70491.03,False
revenue,2024-02-22,,63874.12,False
revenue,2024-02-23,,59720.33,False
revenue,2024-02-24,,68708.67,False
revenue,2024-02-25,,77307.42,False
revenue,2024-02-26,,73042.47,False
revenue,2024-02-27,,62468.86,False
revenue,2024-02-28,,61113.58,False
revenue,2024-02-29,,71382.17,False
revenue,2024-03-01,,63578.05,False
revenue,2024-03-02,,78144.44,False
revenue,2024-03-03,,76301.69,False
revenue,2024-03-04,,67178.4,False
revenue,2024-03-05,,60214.69,False
revenue,2024-03-06,,72938.71,False
revenue,2024-03-07,,65675.52,False
revenue,2024-03-08,,69401.13,False
revenue,2024-03-09,,77326.31,False
revenue,2024-03-10,,78264.45,False
revenue,2024-03-11,,64450.81,False
revenue,2024-03-12,,70245.3,False
revenue,2024-03-13,,61619.3,False
revenue,2024-03-14,,65922.06,False
revenue,2024-03-15,,68435.72,False
revenue,2024-03-16,,78910.94,False
revenue,2024-03-17,,68046.92,False
revenue,2024-03-18,,63237.86,False
revenue,2024-03-19,,66643.51,False
revenue,2024-03-20,,68585.89,False
revenue,2024-03-21,,64498.77,False
revenue,2024-03-22,,62278.2,False
revenue,2024-03-23,,78592.39,False
revenue,2024-03-24,,78704.54,False
revenue,2024-03-25,,65240.97,False
revenue,2024-03-26,,68046.09,False
revenue,2024-03-27,,62247.97,False
revenue,2024-03-28,,63596.03,False
revenue,2024-03-29,,72962.42,False
revenue,2024-03-30,,70698.89,False
revenue,2024-03-31,,75899.17,False
revenue,2024-03-31,,71648.08,False
revenue,2024-04-01,,70499.99,False
revenue,2024-04-02,,64909.48,False
revenue,2024-04-03,,67560.89,False
revenue,2024-04-04,,67549.87,False
revenue,2024-04-05,,75523.02,False
revenue,2024-04-06,,68655.24,False
revenue,2024-04-07,,80999.16,False
revenue,2024-04-08,,67928.36,False
revenue,2024-04-09,,68817.72,False
revenue,2024-04-10,,70441.81,False
revenue,2024-04-11,,73879.46,False
revenue,2024-04-12,,67027.55,False
revenue,2024-04-13,,81268.46,False
revenue,2024-04-14,,69420.55,False
revenue,2024-04-15,,74878.36,False
revenue,2024-04-16,,63756.51,False
revenue,2024-04-17,,63466.31,False
revenue,2024-04-18,,60644.54,False
revenue,2024-04-19,,60360.82,False
revenue,2024-04-20,,71485.07,False
revenue,2024-04-21,,77233.95,False
revenue,2024-04-22,,71054.39,False
revenue,2024-04-23,,61508.09,False
revenue,2024-04-24,,62018.85,False
revenue,2024-04-25,,63373.4,False
revenue,2024-04-26,,63794.27,False
revenue,2024-04-27,,66425.84,False
revenue,2024-04-28,,66354.64,False
revenue,2024-04-29,,65350.87,False
revenue,2024-04-30,,63615.23,False
revenue,2024-05-01,,73986.43,False
revenue,2024-05-02,,73874.12,False
revenue,2024-05-03,,63924.2,False
revenue,2024-05-04,,65080.06,False
revenue,2024-05-05,,78539.95,False
revenue,2024-05-06,,61492.99,False
revenue,2024-05-07,,61079.89,False
revenue,2024-05-08,,68529.17,False
revenue,2024-05-09,,60078.11,False
revenue,2024-05-10,,58257.11,False
revenue,2024-05-11,,64297.68,False
revenue,2024-05-12,,68096.13,False
revenue,2024-05-13,,59840.57,False
revenue,2024-05-14,,59215.16,False
revenue,2024-05-15,,56922.49,False
revenue,2024-05-16,,61889.36,False
revenue,2024-05-17,,63312.9,False
revenue,2024-05-18,,73615.87,False
revenue,2024-05-19,,71791.75,False
revenue,2024-05-20,,70501.57,False
revenue,2024-05-21,,62739.85,False
revenue,2024-05-22,,70919.47,False
revenue,2024-05-23,,56557.55,False
revenue,2024-05-24,,65802.63,False
revenue,2024-05-25,,67113.51,False
revenue,2024-05-26,,62639.2,False
revenue,2024-05-27,,55172.47,False
revenue,2024-05-28,,65886.3,False
revenue,2024-05-29,,72570.88,False
revenue,2024-05-30,,56011.56,False
revenue,2024-05-31,,65028.14,False
revenue,2024-06-01,,60510.81,False
revenue,2024-06-02,,61592.36,False
revenue,2024-06-03,,54524.0,False
revenue,2024-06-04,,63257.57,False
revenue,2024-06-05,,54431.4,False
revenue,2024-06-06,,55148.85,False
revenue,2024-06-07,,63207.58,False
revenue,2024-06-08,,59013.95,False
revenue,2024-06-09,,63359.51,False
revenue,2024-06-10,,52839.17,False
revenue,2024-06-11,,57851.32,False
revenue,2024-06-12,,55868.98,False
revenue,2024-06-13,,57665.93,False
revenue,2024-06-14,,52729.55,False
revenue,2024-06-15,,67621.23,False
revenue,2024-06-16,,56170.8,False
revenue,2024-06-17,,54749.49,False
revenue,2024-06-18,,56888.51,False
revenue,2024-06-19,,49518.89,False
revenue,2024-06-20,,52897.82,False
revenue,2024-06-21,,49332.48,False
revenue,2024-06-22,,67075.79,False
revenue,2024-06-23,,66478.91,False
revenue,2024-06-24,,55297.49,False
revenue,2024-06-25,,56755.36,False
revenue,2024-06-26,,51417.21,False
revenue,2024-06-27,,49296.94,False
revenue,2024-06-28,,52542.16,False
revenue,2024-06-29,,56437.91,False
revenue,2024-06-30,,64007.63,False
revenue,2024-07-01,,49860.21,False
revenue,2024-07-02,,48179.72,False
revenue,2024-07-03,,49430.74,False
revenue,2024-07-04,,51453.27,False
revenue,2024-07-05,,57657.87,False
revenue,2024-07-06,,58744.69,False
revenue,2024-07-07,,51174.26,False
revenue,2024-07-08,,47154.48,False
revenue,2024-07-09,,45123.7,False
revenue,2024-07-10,,54322.71,False
revenue,2024-07-11,,49584.79,False
revenue,2024-07-12,,54491.93,False
revenue,2024-07-13,,63940.55,False
revenue,2024-07-14,,50991.55,False
revenue,2024-07-15,,46719.48,False
revenue,2024-07-16,,53503.95,False
revenue,2024-07-17,,44548.74,False
revenue,2024-07-18,,46826.81,False
revenue,2024-07-19,,42035.89,False
revenue,2024-07-20,,50709.15,False
revenue,2024-07-21,,49310.22,False
revenue,2024-07-22,,47702.18,False
revenue,2024-07-23,,48143.15,False
revenue,2024-07-24,,42579.45,False
revenue,2024-07-25,,52791.35,False
revenue,2024-07-26,,50937.84,False
revenue,2024-07-27,,45495.87,False
revenue,2024-07-28,,47352.78,False
revenue,2024-07-29,,45466.22,False
revenue,2024-07-30,,41957.12,False
revenue,2024-07-31,,51362.5,False
revenue,2024-08-01,,43243.52,False
revenue,2024-08-02,,40375.92,False
revenue,2024-08-03,,55454.16,False
revenue,2024-08-04,,48322.09,False
revenue,2024-08-05,,44414.99,False
revenue,2024-08-06,,39391.57,False
revenue,2024-08-07,,45029.95,False
revenue,2024-08-08,,37434.05,False
revenue,2024-08-09,,41113.71,False
revenue,2024-08-10,,50798.41,False
revenue,2024-08-11,,46592.65,False
revenue,2024-08-12,,56105.77,False
revenue,2024-08-13,,42668.59,False
revenue,2024-08-14,,46033.82,False
revenue,2024-08-15,,44573.7,False
revenue,2024-08-16,,49008.15,False
revenue,2024-08-17,,55552.04,False
revenue,2024-08-18,,40452.11,False
revenue,2024-08-19,,40483.9,False
revenue,2024-08-20,,40657.76,False
revenue,2024-08-21,,48312.9,False
revenue,2024-08-22,,41123.86,False
revenue,2024-08-23,,44558.9,False
revenue,2024-08-24,,41129.24,False
revenue,2024-08-25,,41092.27,False
revenue,2024-08-26,,41269.09,False
revenue,2024-08-27,,46734.13,False
revenue,2024-08-28,,36336.05,False
revenue,2024-08-29,,40900.79,False
revenue,2024-08-30,,46430.44,False
revenue,2024-08-31,,44723.29,False
revenue,2024-09-01,,47825.1,False
revenue,2024-09-02,,35991.4,False
revenue,2024-09-03,,36956.22,False
revenue,2024-09-04,,42085.74,False
revenue,2024-09-05,,32728.08,False
revenue,2024-09-06,,44216.33,False
revenue,2024-09-07,,43522.11,False
revenue,2024-09-08,,51542.5,False
revenue,2024-09-09,,37804.5,False
revenue,2024-09-10,,36546.15,False
revenue,2024-09-11,,34424.01,False
revenue,2024-09-12,,43556.35,False
revenue,2024-09-13,,42375.46,False
revenue,2024-09-14,,42654.34,False
revenue,2024-09-15,,37921.07,False
revenue,2024-09-16,,35009.36,False
revenue,2024-09-17,,33835.67,False
revenue,2024-09-18,,38292.04,False
revenue,2024-09-19,,42618.11,False
revenue,2024-09-20,,37771.8,False
revenue,2024-09-21,,44826.39,False
revenue,2024-09-22,,45684.38,False
revenue,2024-09-23,,33786.77,False
revenue,2024-09-24,,40682.52,False
revenue,2024-09-25,,37224.18,False
revenue,2024-09-26,,36291.97,False
revenue,2024-09-27,,35190.73,False
revenue,2024-09-28,,43066.69,False
revenue,2024-09-29,,39390.94,False
revenue,2024-09-30,,33878.18,False
revenue,2024-10-01,,43639.91,False
revenue,2024-10-02,,42969.01,False
revenue,2024-10-03,,44661.35,False
revenue,2024-10-04,,43518.48,False
revenue,2024-10-05,,40059.89,False
revenue,2024-10-06,,43232.17,False
revenue,2024-10-07,,32494.0,False
revenue,2024-10-08,,34119.67,False
revenue,2024-10-09,,35495.54,False
revenue,2024-10-10,,33698.82,False
revenue,2024-10-11,,46898.87,False
revenue,2024-10-12,,38915.32,False
revenue,2024-10-13,,40601.56,False
revenue,2024-10-14,,35480.97,False
revenue,2024-10-15,,36058.98,False
revenue,2024-10-16,,36354.24,False
revenue,2024-10-17,,36825.96,False
revenue,2024-10-18,,35083.51,False
revenue,2024-10-19,,41234.57,False
revenue,2024-10-20,,46924.78,False
revenue,2024-10-21,,43959.09,False
revenue,2024-10-22,,34853.0,False
revenue,2024-10-23,,42696.57,False
revenue,2024-10-24,,46849.63,False
revenue,2024-10-25,,36387.29,False
revenue,2024-10-26,,41190.24,False
revenue,2024-10-28,,39922.8,False
revenue,2024-10-29,,46159.47,False
revenue,2024-10-30,,36664.39,False
revenue,2024-10-31,,38943.52,False
revenue,2024-11-01,,49267.91,False
revenue,2024-11-02,,52062.41,False
revenue,2024-11-03,,51767.84,False
revenue,2024-11-04,,45175.62,False
revenue,2024-11-05,,39876.38,False
revenue,2024-11-06,,35079.68,False
revenue,2024-11-07,,45302.25,False
revenue,2024-11-08,,39248.61,False
revenue,2024-11-09,,41923.52,False
revenue,2024-11-10,,42085.09,False
revenue,2024-11-11,,40808.39,False
revenue,2024-11-12,,46986.44,False
revenue,2024-11-13,,47906.73,False
revenue,2024-11-14,,37309.09,False
revenue,2024-11-15,,38386.86,False
revenue,2024-11-16,,53143.73,False
revenue,2024-11-17,,50888.06,False
revenue,2024-11-18,,39248.32,False
revenue,2024-11-19,,48512.81,False
revenue,2024-11-20,,44735.81,False
revenue,2024-11-21,,48372.14,False
revenue,2024-11-22,,37654.95,False
revenue,2024-11-23,,47715.5,False
revenue,2024-11-24,,48824.65,False
revenue,2024-11-25,,40228.58,False
revenue,2024-11-26,,42656.41,False
revenue,2024-11-27,,38626.01,False
revenue,2024-11-28,,50226.83,False
revenue,2024-11-29,,41830.32,False
revenue,2024-11-30,,45640.38,False
revenue,2024-12-01,,63342.11,False
revenue,2024-12-02,,44379.89,False
revenue,2024-12-03,,48665.51,False
revenue,2024-12-04,,45194.8,False
revenue,2024-12-05,,47292.41,False
revenue,2024-12-06,,53871.62,False
revenue,2024-12-07,,49783.39,False
revenue,2024-12-08,,60631.49,False
revenue,2024-12-09,,66587.37,False
revenue,2024-12-10,,53039.11,False
revenue,2024-12-11,,52617.59,False
revenue,2024-12-12,,45972.54,False
revenue,2024-12-13,,49441.46,False
revenue,2024-12-14,,58829.91,False
revenue,2024-12-15,,59849.45,False
revenue,2024-12-16,,54581.71,False
revenue,2024-12-17,,51415.82,False
revenue,2024-12-18,,52497.44,False
revenue,2024-12-19,,45968.36,False
revenue,2024-12-20,,46656.1,False
revenue,2024-12-21,,53746.39,False
revenue,2024-12-22,,52803.39,False
revenue,2024-12-23,,56377.37,False
revenue,2024-12-24,,47425.76,False
revenue,2024-12-25,,57706.4,False
revenue,2024-12-26,,52650.56,False
revenue,2024-12-27,,58943.94,False
revenue,2024-12-28,,53688.14,False
revenue,2024-12-29,,56045.16,False
revenue,2024-12-30,,51219.11,False
spend,2023-01-01,paid_search,3230.7,False
spend,2023-01-01,affiliate,911.73,False
spend,2023-01-01,tv,1997.98,False
spend,2023-01-01,email,514.65,False
